기상청행정구역코드,특보구역코드,지점소,예보구역코드,지점번호,1단계,2단계,3단계,격자 X,격자 Y,경도(시),위도(시),경도(초/100),위도(초/100)
11B10101,L1100000,108,11B10101,109,서울특별시,중랑구,중화제2동,62,127,127,37,127.08,37.59
11B10101,L1100000,108,11B10101,109,서울특별시,중랑구,묵제1동,62,128,127,37,127.08,37.61
11B10101,L1100000,108,11B10101,109,서울특별시,중랑구,묵제2동,62,128,127,37,127.08,37.61
11B10101,L1100000,108,11B10101,109,서울특별시,중랑구,망우본동,62,127,127,37,127.11,37.6
11B10101,L1100000,108,11B10101,109,서울특별시,중랑구,망우제3동,62,127,127,37,127.1,37.59
11B10101,L1100000,108,11B10101,109,서울특별시,중랑구,신내1동,62,128,127,37,127.1,37.6
11B10101,L1100000,108,11B10101,109,서울특별시,중랑구,신내2동,62,128,127,37,127.1,37.6
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,,61,127,127,37,127.02,37.59
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,성북동,60,127,127,37,127.01,37.59
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,삼선동,60,127,127,37,127.01,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,동선동,61,127,127,37,127.02,37.59
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,돈암제1동,61,127,127,37,127.03,37.6
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,돈암제2동,60,127,127,37,127.01,37.6
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,안암동,61,127,127,37,127.02,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,보문동,61,127,127,37,127.02,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,정릉제1동,60,127,127,37,127.02,37.6
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,정릉제2동,60,127,127,37,127.01,37.6
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,정릉제3동,60,128,127,37,127.01,37.61
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,정릉제4동,60,128,127,37,127.01,37.61
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,길음제1동,61,127,127,37,127.02,37.6
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,길음제2동,61,128,127,37,127.03,37.6
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,종암동,61,127,127,37,127.03,37.6
11B10101,L1100000,108,11B10101,109,서울특별시,성북구,월곡제1동,61,128,127,37,127.04,37.6
